Time(s),Voltage(V)
3.100010000000e-04,0.214743268474
3.100010800000e-04,0.214743318759
3.100012400000e-04,0.214743419330
3.100015600000e-04,0.214743620473
3.100022000000e-04,0.214744022769
3.100034800000e-04,0.214744827394
3.100060400000e-04,0.214746436774
3.100111600000e-04,0.214749656063
3.100214000000e-04,0.214756096750
3.100418800000e-04,0.214768986558
3.100828400000e-04,0.214794799876
3.101647600000e-04,0.214846561037
3.103286000000e-04,0.214950619238
3.106562800000e-04,0.215160861557
3.113116399999e-04,0.215589711951
3.126223599999e-04,0.216479816573
3.141680000000e-04,0.217582650313
3.141681000000e-04,0.217582723417
3.141683000000e-04,0.217582869750
3.141687000000e-04,0.217583162414
3.141690000000e-04,0.217583381910
3.141690800000e-04,0.217583440442
3.141692400000e-04,0.217583557506
3.141695600000e-04,0.217583791632
3.141702000000e-04,0.217584259878
3.141714800000e-04,0.217585196346
3.141740400000e-04,0.217587069185
3.141791600000e-04,0.217590814482
3.141894000000e-04,0.217598303541
3.142098800000e-04,0.217613275521
3.142508400000e-04,0.217643194937
3.143327600000e-04,0.217702935587
3.144966000000e-04,0.217822024167
3.148242800000e-04,0.218058630523
3.154796400000e-04,0.218525560641
3.167903600000e-04,0.219434296089
3.194118000001e-04,0.221151322539
3.200000000000e-04,0.221518199488
3.200001000000e-04,0.221518261288
3.200003000000e-04,0.221518384888
3.200007000000e-04,0.221518632085
3.200010000000e-04,0.221518817483
3.200010800000e-04,0.221518866922
3.200012400000e-04,0.221518965802
3.200015600000e-04,0.221519163564
3.200022000000e-04,0.221519559095
3.200034800000e-04,0.221520350191
3.200060400000e-04,0.221521932517
3.200111600000e-04,0.221525097699
3.200214000000e-04,0.221531430192
3.200418800000e-04,0.221544103680
3.200828400000e-04,0.221569484637
3.201647600000e-04,0.221620382185
3.203286000000e-04,0.221722717563
3.206562800000e-04,0.221929531590
3.213116400000e-04,0.222351592885
3.226223600000e-04,0.223228374778
3.241680000000e-04,0.224315905193
3.241681000000e-04,0.224315977317
3.241683000000e-04,0.224316121697
3.241687000000e-04,0.224316410455
3.241690000000e-04,0.224316627022
3.241690800000e-04,0.224316684773
3.241692400000e-04,0.224316800274
3.241695600000e-04,0.224317031276
3.241702000000e-04,0.224317493272
3.241714800000e-04,0.224318417241
3.241740400000e-04,0.224320265083
3.241791600000e-04,0.224323960380
3.241894000000e-04,0.224331349429
3.242098800000e-04,0.224346121348
3.242508400000e-04,0.224375640471
3.243327600000e-04,0.224434579859
3.244966000000e-04,0.224552063212
3.248242800000e-04,0.224785448302
3.254796400000e-04,0.225245892713
3.267903600000e-04,0.226141484598
3.294118000001e-04,0.227831539905
3.300000000000e-04,0.228192240274
3.300001000000e-04,0.228192301020
3.300003000000e-04,0.228192422512
3.300007000000e-04,0.228192665493
3.300010000000e-04,0.228192847729
3.300010800000e-04,0.228192896326
3.300012400000e-04,0.228192993519
3.300015600000e-04,0.228193187908
3.300022000000e-04,0.228193576695
3.300034800000e-04,0.228194354301
3.300060400000e-04,0.228195909647
3.300111600000e-04,0.228199020877
3.300214000000e-04,0.228205245481
3.300418800000e-04,0.228217703264
3.300828400000e-04,0.228242653093
3.301647600000e-04,0.228292689516
3.303286000000e-04,0.228393307131
3.306562800000e-04,0.228596703325
3.313116400000e-04,0.229011997719
3.326223600000e-04,0.229875506048
3.341680000000e-04,0.230947798530
3.341681000000e-04,0.230947869679
3.341683000000e-04,0.230948012115
3.341687000000e-04,0.230948296985
3.341690000000e-04,0.230948510636
3.341690800000e-04,0.230948567610
3.341692400000e-04,0.230948681556
3.341695600000e-04,0.230948909447
3.341702000000e-04,0.230949365223
3.341714800000e-04,0.230950276750
3.341740400000e-04,0.230952099708
3.341791600000e-04,0.230955745234
3.341894000000e-04,0.230963034732
3.342098800000e-04,0.230977607507
3.342508400000e-04,0.231006728177
3.343327600000e-04,0.231064869992
3.344966000000e-04,0.231180755538
3.348242800000e-04,0.231410934381
3.354796400000e-04,0.231864923830
3.367903600000e-04,0.232747436467
3.394118000001e-04,0.234410660611
3.400000000000e-04,0.234765217890
3.400001000000e-04,0.234765277588
3.400003000000e-04,0.234765396983
3.400007000000e-04,0.234765635772
3.400010000000e-04,0.234765814863
3.400010800000e-04,0.234765862621
3.400012400000e-04,0.234765958137
3.400015600000e-04,0.234766149172
3.400022000000e-04,0.234766531250
3.400034800000e-04,0.234767295440
3.400060400000e-04,0.234768823956
3.400111600000e-04,0.234771881527
3.400214000000e-04,0.234777998833
3.400418800000e-04,0.234790242092
3.400828400000e-04,0.234814763160
3.401647600000e-04,0.234863943208
3.403286000000e-04,0.234962852623
3.406562800000e-04,0.235162850356
3.413116399999e-04,0.235571417543
3.426223599999e-04,0.236421735155
3.441680000000e-04,0.237478892695
3.441681000000e-04,0.237478962875
3.441683000000e-04,0.237479103380
3.441687000000e-04,0.237479384390
3.441690000000e-04,0.237479595146
3.441690800000e-04,0.237479651347
3.441692400000e-04,0.237479763749
3.441695600000e-04,0.237479988551
3.441702000000e-04,0.237480438150
3.441714800000e-04,0.237481337323
3.441740400000e-04,0.237483135572
3.441791600000e-04,0.237486731678
3.441894000000e-04,0.237493922326
3.442098800000e-04,0.237508297359
3.442508400000e-04,0.237537022380
3.443327600000e-04,0.237594372244
3.444966000000e-04,0.237708671270
3.448242800000e-04,0.237935666614
3.454796400000e-04,0.238383247292
3.467903600000e-04,0.239252775846
3.494118000001e-04,0.240889370297
3.500000000000e-04,0.241237831736
3.500001000000e-04,0.241237890393
3.500003000000e-04,0.241238007708
3.500007000000e-04,0.241238242337
3.500010000000e-04,0.241238418308
3.500010800000e-04,0.241238465234
3.500012400000e-04,0.241238559086
3.500015600000e-04,0.241238746793
3.500022000000e-04,0.241239122214
3.500034800000e-04,0.241239873092
3.500060400000e-04,0.241241374983
3.500111600000e-04,0.241244379311
3.500214000000e-04,0.241250390149
3.500418800000e-04,0.241262420543
3.500828400000e-04,0.241286516172
3.501647600000e-04,0.241334846500
3.503286000000e-04,0.241432061072
3.506562800000e-04,0.241628687227
3.513116400000e-04,0.242030581623
3.526223600000e-04,0.242867819678
3.541680000000e-04,0.243909976810
3.541681000000e-04,0.243910046030
3.541683000000e-04,0.243910184622
3.541687000000e-04,0.243910461807
3.541690000000e-04,0.243910669694
3.541690800000e-04,0.243910725130
3.541692400000e-04,0.243910836001
3.541695600000e-04,0.243911057744
3.541702000000e-04,0.243911501222
3.541714800000e-04,0.243912388154
3.541740400000e-04,0.243914161920
3.541791600000e-04,0.243917709057
3.541894000000e-04,0.243924801757
3.542098800000e-04,0.243938980854
3.542508400000e-04,0.243967313842
3.543327600000e-04,0.244023878997
3.544966000000e-04,0.244136606031
3.548242800000e-04,0.244360447101
3.554796400000e-04,0.244801678141
3.567903600000e-04,0.245658343610
3.594118000001e-04,0.247268561307
3.600000000000e-04,0.247610985663
3.600001000000e-04,0.247611043291
3.600003000000e-04,0.247611158546
3.600007000000e-04,0.247611389054
3.600010000000e-04,0.247611561935
3.600010800000e-04,0.247611608037
3.600012400000e-04,0.247611700241
3.600015600000e-04,0.247611884652
3.600022000000e-04,0.247612253481
3.600034800000e-04,0.247612991175
3.600060400000e-04,0.247614466700
3.600111600000e-04,0.247617418299
3.600214000000e-04,0.247623323697
3.600418800000e-04,0.247635143287
3.600828400000e-04,0.247658817599
3.601647600000e-04,0.247706306456
3.603286000000e-04,0.247801842709
3.606562800000e-04,0.247995130447
3.613116399999e-04,0.248390418762
3.626223599999e-04,0.249214712025
3.641680000000e-04,0.250242029525
3.641681000000e-04,0.250242097795
3.641683000000e-04,0.250242234496
3.641687000000e-04,0.250242507897
3.641690000000e-04,0.250242712946
3.641690800000e-04,0.250242767625
3.641692400000e-04,0.250242876984
3.641695600000e-04,0.250243095699
3.641702000000e-04,0.250243533124
3.641714800000e-04,0.250244407949
3.641740400000e-04,0.250246157499
3.641791600000e-04,0.250249656203
3.641894000000e-04,0.250256652026
3.642098800000e-04,0.250270637331
3.642508400000e-04,0.250298582576
3.643327600000e-04,0.250354371610
3.644966000000e-04,0.250465543871
3.648242800000e-04,0.250686265272
3.654796400000e-04,0.251121216554
3.667903600000e-04,0.251965161381
3.694118000001e-04,0.253549297937
3.700000000000e-04,0.253885753509
3.700001000000e-04,0.253885810118
3.700003000000e-04,0.253885923337
3.700007000000e-04,0.253886149771
3.700010000000e-04,0.253886319597
3.700010800000e-04,0.253886364884
3.700012400000e-04,0.253886455459
3.700015600000e-04,0.253886636611
3.700022000000e-04,0.253886998923
3.700034800000e-04,0.253887723582
3.700060400000e-04,0.253889173039
3.700111600000e-04,0.253892072508
3.700214000000e-04,0.253897873662
3.700418800000e-04,0.253909484838
3.700828400000e-04,0.253932742615
3.701647600000e-04,0.253979399571
3.703286000000e-04,0.254073276658
3.706562800000e-04,0.254263264330
3.713116400000e-04,0.254652023443
3.726223600000e-04,0.255463526163
3.741680000000e-04,0.256476186408
3.741681000000e-04,0.256476253740
3.741683000000e-04,0.256476388573
3.741687000000e-04,0.256476658238
3.741690000000e-04,0.256476860485
3.741690800000e-04,0.256476914417
3.741692400000e-04,0.256477022281
3.741695600000e-04,0.256477238007
3.741702000000e-04,0.256477669454
3.741714800000e-04,0.256478532322
3.741740400000e-04,0.256480257959
3.741791600000e-04,0.256483708835
3.741894000000e-04,0.256490608991
3.742098800000e-04,0.256504402923
3.742508400000e-04,0.256531965267
3.743327600000e-04,0.256586987876
3.744966000000e-04,0.256696624794
3.748242800000e-04,0.256914265552
3.754796400000e-04,0.257343015787
3.767903600000e-04,0.258174400020
3.794118000001e-04,0.259732786052
3.800000000000e-04,0.260063348950
3.800001000000e-04,0.260063404554
3.800003000000e-04,0.260063515761
3.800007000000e-04,0.260063738174
3.800010000000e-04,0.260063904984
3.800010800000e-04,0.260063949467
3.800012400000e-04,0.260064038433
3.800015600000e-04,0.260064216368
3.800022000000e-04,0.260064572246
3.800034800000e-04,0.260065284037
3.800060400000e-04,0.260066707759
3.800111600000e-04,0.260069555762
3.800214000000e-04,0.260075254004
3.800418800000e-04,0.260086659428
3.800828400000e-04,0.260109505995
3.801647600000e-04,0.260155341700
3.803286000000e-04,0.260247580922
3.806562800000e-04,0.260434311133
3.813116399999e-04,0.260816626230
3.826223599999e-04,0.261615508543
3.841680000000e-04,0.262613711467
3.841681000000e-04,0.262613777873
3.841683000000e-04,0.262613910863
3.841687000000e-04,0.262614176844
3.841690000000e-04,0.262614376327
3.841690800000e-04,0.262614429522
3.841692400000e-04,0.262614535912
3.841695600000e-04,0.262614748691
3.841702000000e-04,0.262615174242
3.841714800000e-04,0.262616025320
3.841740400000e-04,0.262617727374
3.841791600000e-04,0.262621131082
3.841894000000e-04,0.262627936893
3.842098800000e-04,0.262641542097
3.842508400000e-04,0.262668726830
3.843327600000e-04,0.262722993606
3.844966000000e-04,0.262831116406
3.848242800000e-04,0.263045719133
3.854796400000e-04,0.263468354186
3.867903600000e-04,0.264287352134
3.894118000001e-04,0.265820346563
